obs_id,train_id,class,letter
id_029817,train,5,f
id_029818,train,4,e
id_029819,valid,21,v
id_029820,test,NA,NA
id_029821,train,9,j
id_029822,train,15,p
id_029823,valid,3,d
id_029824,test,NA,NA
id_029825,train,13,n
id_029826,train,12,m
id_029827,valid,14,o
id_029828,test,NA,NA
id_029829,train,17,r
id_029830,train,25,z
id_029831,valid,15,p
id_029832,test,NA,NA
id_029833,train,13,n
id_029834,train,1,b
id_029835,valid,6,g
id_029836,test,NA,NA
id_029837,train,25,z
id_029838,train,11,l
id_029839,valid,8,i
id_029840,test,NA,NA
id_029841,train,15,p
id_029842,train,12,m
id_029843,valid,11,l
id_029844,test,NA,NA
id_029845,train,11,l
id_029846,train,24,y
id_029847,valid,1,b
id_029848,test,NA,NA
id_029849,train,24,y
id_029850,train,21,v
id_029851,valid,15,p
id_029852,test,NA,NA
id_029853,train,20,u
id_029854,train,10,k
id_029855,valid,19,t
id_029856,test,NA,NA
id_029857,train,14,o
id_029858,train,11,l
id_029859,valid,16,q
id_029860,test,NA,NA
id_029861,train,14,o
id_029862,train,14,o
id_029863,valid,24,y
id_029864,test,NA,NA
id_029865,train,21,v
id_029866,train,21,v
id_029867,valid,11,l
id_029868,test,NA,NA
id_029869,train,22,w
id_029870,train,4,e
id_029871,valid,11,l
id_029872,test,NA,NA
id_029873,train,3,d
id_029874,train,17,r
id_029875,valid,21,v
id_029876,test,NA,NA
id_029877,train,20,u
id_029878,train,5,f
id_029879,valid,22,w
id_029880,test,NA,NA
id_029881,train,23,x
id_029882,train,13,n
id_029883,valid,20,u
id_029884,test,NA,NA
id_029885,train,14,o
id_029886,train,0,a
id_029887,valid,15,p
id_029888,test,NA,NA
id_029889,train,5,f
id_029890,train,21,v
id_029891,valid,2,c
id_029892,test,NA,NA
id_029893,train,13,n
id_029894,train,16,q
id_029895,valid,13,n
id_029896,test,NA,NA
id_029897,train,6,g
id_029898,train,2,c
id_029899,valid,6,g
id_029900,test,NA,NA
id_029901,train,9,j
id_029902,train,19,t
id_029903,valid,4,e
id_029904,test,NA,NA
id_029905,train,6,g
id_029906,train,14,o
id_029907,valid,15,p
id_029908,test,NA,NA
id_029909,train,9,j
id_029910,train,24,y
id_029911,valid,4,e
id_029912,test,NA,NA
id_029913,train,5,f
id_029914,train,21,v
id_029915,valid,3,d
id_029916,test,NA,NA
id_029917,train,3,d
id_029918,train,19,t
id_029919,valid,8,i
id_029920,test,NA,NA
id_029921,train,8,i
id_029922,train,16,q
id_029923,valid,12,m
id_029924,test,NA,NA
id_029925,train,13,n
id_029926,train,24,y
id_029927,valid,1,b
id_029928,test,NA,NA
id_029929,train,21,v
id_029930,train,3,d
id_029931,valid,21,v
id_029932,test,NA,NA
id_029933,train,25,z
id_029934,train,22,w
id_029935,valid,20,u
id_029936,test,NA,NA
id_029937,train,2,c
id_029938,train,16,q
id_029939,valid,24,y
id_029940,test,NA,NA
id_029941,train,10,k
id_029942,train,15,p
id_029943,valid,7,h
id_029944,test,NA,NA
id_029945,train,1,b
id_029946,train,15,p
id_029947,valid,6,g
id_029948,test,NA,NA
id_029949,train,1,b
id_029950,train,6,g
id_029951,valid,13,n
id_029952,test,NA,NA
id_029953,train,7,h
id_029954,train,14,o
id_029955,valid,1,b
id_029956,test,NA,NA
id_029957,train,11,l
id_029958,train,12,m
id_029959,valid,23,x
id_029960,test,NA,NA
id_029961,train,2,c
id_029962,train,10,k
id_029963,valid,19,t
id_029964,test,NA,NA
id_029965,train,20,u
id_029966,train,3,d
id_029967,valid,21,v
id_029968,test,NA,NA
id_029969,train,21,v
id_029970,train,9,j
id_029971,valid,19,t
id_029972,test,NA,NA
id_029973,train,16,q
id_029974,train,23,x
id_029975,valid,0,a
id_029976,test,NA,NA
id_029977,train,7,h
id_029978,train,0,a
id_029979,valid,2,c
id_029980,test,NA,NA
id_029981,train,0,a
id_029982,train,22,w
id_029983,valid,0,a
id_029984,test,NA,NA
id_029985,train,17,r
id_029986,train,18,s
id_029987,valid,18,s
id_029988,test,NA,NA
id_029989,train,0,a
id_029990,train,5,f
id_029991,valid,7,h
id_029992,test,NA,NA
id_029993,train,5,f
id_029994,train,0,a
id_029995,valid,9,j
id_029996,test,NA,NA
id_029997,train,19,t
id_029998,train,17,r
id_029999,valid,22,w
id_030000,test,NA,NA
id_030001,train,8,i
id_030002,train,2,c
id_030003,valid,20,u
id_030004,test,NA,NA
id_030005,train,20,u
id_030006,train,20,u
id_030007,valid,4,e
id_030008,test,NA,NA
id_030009,train,4,e
id_030010,train,11,l
id_030011,valid,7,h
id_030012,test,NA,NA
id_030013,train,21,v
id_030014,train,10,k
id_030015,valid,1,b
id_030016,test,NA,NA
id_030017,train,25,z
id_030018,train,23,x
id_030019,valid,19,t
id_030020,test,NA,NA
id_030021,train,6,g
id_030022,train,5,f
id_030023,valid,24,y
id_030024,test,NA,NA
id_030025,train,21,v
id_030026,train,1,b
id_030027,valid,17,r
id_030028,test,NA,NA
id_030029,train,3,d
id_030030,train,19,t
id_030031,valid,24,y
id_030032,test,NA,NA
id_030033,train,8,i
id_030034,train,17,r
id_030035,valid,9,j
id_030036,test,NA,NA
id_030037,train,4,e
id_030038,train,5,f
id_030039,valid,14,o
id_030040,test,NA,NA
id_030041,train,0,a
id_030042,train,18,s
id_030043,valid,18,s
id_030044,test,NA,NA
id_030045,train,21,v
id_030046,train,23,x
id_030047,valid,23,x
id_030048,test,NA,NA
id_030049,train,20,u
id_030050,train,8,i
id_030051,valid,20,u
id_030052,test,NA,NA
id_030053,train,20,u
id_030054,train,5,f
id_030055,valid,4,e
id_030056,test,NA,NA
id_030057,train,2,c
id_030058,train,19,t
id_030059,valid,0,a
id_030060,test,NA,NA
id_030061,train,1,b
id_030062,train,9,j
id_030063,valid,13,n
id_030064,test,NA,NA
id_030065,train,21,v
id_030066,train,6,g
id_030067,valid,16,q
id_030068,test,NA,NA
id_030069,train,2,c
id_030070,train,23,x
id_030071,valid,24,y
id_030072,test,NA,NA
id_030073,train,3,d
id_030074,train,12,m
id_030075,valid,12,m
id_030076,test,NA,NA
id_030077,train,5,f
id_030078,train,9,j
id_030079,valid,7,h
id_030080,test,NA,NA
id_030081,train,1,b
id_030082,train,17,r
id_030083,valid,5,f
id_030084,test,NA,NA
id_030085,train,13,n
id_030086,train,2,c
id_030087,valid,23,x
id_030088,test,NA,NA
id_030089,train,25,z
id_030090,train,13,n
id_030091,valid,20,u
id_030092,test,NA,NA
id_030093,train,23,x
id_030094,train,8,i
id_030095,valid,14,o
id_030096,test,NA,NA
id_030097,train,7,h
id_030098,train,10,k
id_030099,valid,24,y
id_030100,test,NA,NA
id_030101,train,14,o
id_030102,train,16,q
id_030103,valid,0,a
id_030104,test,NA,NA
id_030105,train,4,e
id_030106,train,8,i
id_030107,valid,13,n
id_030108,test,NA,NA
id_030109,train,15,p
id_030110,train,19,t
id_030111,valid,17,r
id_030112,test,NA,NA
id_030113,train,9,j
id_030114,train,14,o
id_030115,valid,17,r
id_030116,test,NA,NA
id_030117,train,18,s
id_030118,train,1,b
id_030119,valid,16,q
id_030120,test,NA,NA
id_030121,train,15,p
id_030122,train,20,u
id_030123,valid,1,b
id_030124,test,NA,NA
id_030125,train,16,q
id_030126,train,22,w
id_030127,valid,4,e
id_030128,test,NA,NA
id_030129,train,14,o
id_030130,train,22,w
id_030131,valid,4,e
id_030132,test,NA,NA
id_030133,train,18,s
id_030134,train,17,r
id_030135,valid,17,r
id_030136,test,NA,NA
id_030137,train,21,v
id_030138,train,15,p
id_030139,valid,20,u
id_030140,test,NA,NA
id_030141,train,10,k
id_030142,train,20,u
id_030143,valid,4,e
id_030144,test,NA,NA
id_030145,train,22,w
id_030146,train,21,v
id_030147,valid,24,y
id_030148,test,NA,NA
id_030149,train,2,c
id_030150,train,20,u
id_030151,valid,25,z
id_030152,test,NA,NA
id_030153,train,16,q
id_030154,train,0,a
id_030155,valid,25,z
id_030156,test,NA,NA
id_030157,train,25,z
id_030158,train,9,j
id_030159,valid,23,x
id_030160,test,NA,NA
id_030161,train,13,n
id_030162,train,15,p
id_030163,valid,12,m
id_030164,test,NA,NA
id_030165,train,24,y
id_030166,train,6,g
id_030167,valid,5,f
id_030168,test,NA,NA
id_030169,train,11,l
id_030170,train,21,v
id_030171,valid,10,k
id_030172,test,NA,NA
id_030173,train,8,i
id_030174,train,12,m
id_030175,valid,0,a
id_030176,test,NA,NA
id_030177,train,0,a
id_030178,train,12,m
id_030179,valid,5,f
id_030180,test,NA,NA
id_030181,train,13,n
id_030182,train,7,h
id_030183,valid,20,u
id_030184,test,NA,NA
id_030185,train,1,b
id_030186,train,21,v
id_030187,valid,25,z
id_030188,test,NA,NA
id_030189,train,7,h
id_030190,train,3,d
id_030191,valid,13,n
id_030192,test,NA,NA
id_030193,train,15,p
id_030194,train,15,p
id_030195,valid,11,l
id_030196,test,NA,NA
id_030197,train,18,s
id_030198,train,23,x
id_030199,valid,1,b
id_030200,test,NA,NA
id_030201,train,2,c
id_030202,train,9,j
id_030203,valid,21,v
id_030204,test,NA,NA
id_030205,train,11,l
id_030206,train,9,j
id_030207,valid,2,c
id_030208,test,NA,NA
id_030209,train,25,z
id_030210,train,21,v
id_030211,valid,8,i
id_030212,test,NA,NA
id_030213,train,23,x
id_030214,train,3,d
id_030215,valid,13,n
id_030216,test,NA,NA
id_030217,train,2,c
id_030218,train,14,o
id_030219,valid,10,k
id_030220,test,NA,NA
id_030221,train,7,h
id_030222,train,14,o
id_030223,valid,21,v
id_030224,test,NA,NA
id_030225,train,3,d
id_030226,train,25,z
id_030227,valid,20,u
id_030228,test,NA,NA
id_030229,train,6,g
id_030230,train,2,c
id_030231,valid,6,g
id_030232,test,NA,NA
id_030233,train,23,x
id_030234,train,17,r
id_030235,valid,19,t
id_030236,test,NA,NA
id_030237,train,12,m
id_030238,train,13,n
id_030239,valid,14,o
id_030240,test,NA,NA
id_030241,train,2,c
id_030242,train,19,t
id_030243,valid,14,o
id_030244,test,NA,NA
id_030245,train,13,n
id_030246,train,25,z
id_030247,valid,9,j
id_030248,test,NA,NA
id_030249,train,11,l
id_030250,train,5,f
id_030251,valid,19,t
id_030252,test,NA,NA
id_030253,train,20,u
id_030254,train,2,c
id_030255,valid,20,u
id_030256,test,NA,NA
id_030257,train,23,x
id_030258,train,13,n
id_030259,valid,2,c
id_030260,test,NA,NA
id_030261,train,17,r
id_030262,train,21,v
id_030263,valid,10,k
id_030264,test,NA,NA
id_030265,train,8,i
id_030266,train,16,q
id_030267,valid,19,t
id_030268,test,NA,NA
id_030269,train,22,w
id_030270,train,11,l
id_030271,valid,5,f
id_030272,test,NA,NA
id_030273,train,21,v
id_030274,train,16,q
id_030275,valid,0,a
id_030276,test,NA,NA
id_030277,train,15,p
id_030278,train,17,r
id_030279,valid,4,e
id_030280,test,NA,NA
id_030281,train,0,a
id_030282,train,16,q
id_030283,valid,21,v
id_030284,test,NA,NA
id_030285,train,8,i
id_030286,train,22,w
id_030287,valid,12,m
id_030288,test,NA,NA
id_030289,train,24,y
id_030290,train,5,f
id_030291,valid,18,s
id_030292,test,NA,NA
id_030293,train,10,k
id_030294,train,21,v
id_030295,valid,20,u
id_030296,test,NA,NA
id_030297,train,9,j
id_030298,train,24,y
id_030299,valid,6,g
id_030300,test,NA,NA
id_030301,train,4,e
id_030302,train,9,j
id_030303,valid,0,a
id_030304,test,NA,NA
id_030305,train,16,q
id_030306,train,11,l
id_030307,valid,18,s
id_030308,test,NA,NA
id_030309,train,20,u
id_030310,train,9,j
id_030311,valid,19,t
id_030312,test,NA,NA
id_030313,train,7,h
id_030314,train,25,z
id_030315,valid,12,m
id_030316,test,NA,NA
id_030317,train,4,e
id_030318,train,13,n
id_030319,valid,16,q
id_030320,test,NA,NA
id_030321,train,14,o
id_030322,train,6,g
id_030323,valid,19,t
id_030324,test,NA,NA
id_030325,train,3,d
id_030326,train,20,u
id_030327,valid,19,t
id_030328,test,NA,NA
id_030329,train,14,o
id_030330,train,6,g
id_030331,valid,25,z
id_030332,test,NA,NA
id_030333,train,5,f
id_030334,train,19,t
id_030335,valid,21,v
id_030336,test,NA,NA
id_030337,train,2,c
id_030338,train,9,j
id_030339,valid,9,j
id_030340,test,NA,NA
id_030341,train,24,y
id_030342,train,21,v
id_030343,valid,6,g
id_030344,test,NA,NA
id_030345,train,1,b
id_030346,train,25,z
id_030347,valid,23,x
id_030348,test,NA,NA
id_030349,train,19,t
id_030350,train,22,w
id_030351,valid,2,c
id_030352,test,NA,NA
id_030353,train,0,a
id_030354,train,5,f
id_030355,valid,24,y
id_030356,test,NA,NA
id_030357,train,10,k
id_030358,train,24,y
id_030359,valid,18,s
id_030360,test,NA,NA
id_030361,train,4,e
id_030362,train,9,j
id_030363,valid,19,t
id_030364,test,NA,NA
id_030365,train,3,d
id_030366,train,9,j
id_030367,valid,12,m
id_030368,test,NA,NA
id_030369,train,8,i
id_030370,train,4,e
id_030371,valid,12,m
id_030372,test,NA,NA
id_030373,train,22,w
id_030374,train,21,v
id_030375,valid,23,x
id_030376,test,NA,NA
id_030377,train,13,n
id_030378,train,2,c
id_030379,valid,9,j
id_030380,test,NA,NA
id_030381,train,6,g
id_030382,train,18,s
id_030383,valid,8,i
id_030384,test,NA,NA
id_030385,train,7,h
id_030386,train,1,b
id_030387,valid,24,y
id_030388,test,NA,NA
id_030389,train,24,y
id_030390,train,19,t
id_030391,valid,14,o
id_030392,test,NA,NA
id_030393,train,15,p
id_030394,train,25,z
id_030395,valid,22,w
id_030396,test,NA,NA
id_030397,train,8,i
id_030398,train,15,p
id_030399,valid,2,c
id_030400,test,NA,NA
id_030401,train,22,w
id_030402,train,7,h
id_030403,valid,2,c
id_030404,test,NA,NA
id_030405,train,2,c
id_030406,train,25,z
id_030407,valid,18,s
id_030408,test,NA,NA
id_030409,train,21,v
id_030410,train,7,h
id_030411,valid,22,w
id_030412,test,NA,NA
id_030413,train,25,z
id_030414,train,23,x
id_030415,valid,2,c
id_030416,test,NA,NA
id_030417,train,23,x
id_030418,train,18,s
id_030419,valid,3,d
id_030420,test,NA,NA
id_030421,train,25,z
id_030422,train,0,a
id_030423,valid,2,c
id_030424,test,NA,NA
id_030425,train,8,i
id_030426,train,24,y
id_030427,valid,13,n
id_030428,test,NA,NA
id_030429,train,22,w
id_030430,train,15,p
id_030431,valid,25,z
id_030432,test,NA,NA
id_030433,train,25,z
id_030434,train,3,d
id_030435,valid,8,i
id_030436,test,NA,NA
id_030437,train,12,m
id_030438,train,12,m
id_030439,valid,9,j
id_030440,test,NA,NA
id_030441,train,5,f
id_030442,train,15,p
id_030443,valid,21,v
id_030444,test,NA,NA
id_030445,train,25,z
id_030446,train,23,x
id_030447,valid,25,z
id_030448,test,NA,NA
id_030449,train,18,s
id_030450,train,19,t
id_030451,valid,3,d
id_030452,test,NA,NA
id_030453,train,10,k
id_030454,train,20,u
id_030455,valid,10,k
id_030456,test,NA,NA
id_030457,train,21,v
id_030458,train,5,f
id_030459,valid,22,w
id_030460,test,NA,NA
id_030461,train,18,s
id_030462,train,3,d
id_030463,valid,7,h
id_030464,test,NA,NA
id_030465,train,17,r
id_030466,train,11,l
id_030467,valid,1,b
id_030468,test,NA,NA
id_030469,train,8,i
id_030470,train,16,q
id_030471,valid,22,w
id_030472,test,NA,NA
id_030473,train,20,u
id_030474,train,12,m
id_030475,valid,2,c
id_030476,test,NA,NA
id_030477,train,19,t
id_030478,train,24,y
id_030479,valid,7,h
id_030480,test,NA,NA
id_030481,train,1,b
id_030482,train,11,l
id_030483,valid,10,k
id_030484,test,NA,NA
id_030485,train,2,c
id_030486,train,14,o
id_030487,valid,24,y
id_030488,test,NA,NA
id_030489,train,16,q
id_030490,train,10,k
id_030491,valid,9,j
id_030492,test,NA,NA
id_030493,train,18,s
id_030494,train,12,m
id_030495,valid,4,e
id_030496,test,NA,NA
id_030497,train,18,s
id_030498,train,6,g
id_030499,valid,11,l
id_030500,test,NA,NA
id_030501,train,18,s
id_030502,train,18,s
id_030503,valid,25,z
id_030504,test,NA,NA
id_030505,train,8,i
id_030506,train,23,x
id_030507,valid,20,u
id_030508,test,NA,NA
id_030509,train,8,i
id_030510,train,9,j
id_030511,valid,4,e
id_030512,test,NA,NA
id_030513,train,13,n
id_030514,train,23,x
id_030515,valid,21,v
id_030516,test,NA,NA
id_030517,train,2,c
id_030518,train,2,c
id_030519,valid,21,v
id_030520,test,NA,NA
id_030521,train,22,w
id_030522,train,5,f
id_030523,valid,24,y
id_030524,test,NA,NA
id_030525,train,3,d
id_030526,train,11,l
id_030527,valid,2,c
id_030528,test,NA,NA
id_030529,train,18,s
id_030530,train,15,p
id_030531,valid,21,v
id_030532,test,NA,NA
id_030533,train,17,r
id_030534,train,2,c
id_030535,valid,20,u
id_030536,test,NA,NA
id_030537,train,19,t
id_030538,train,14,o
id_030539,valid,14,o
id_030540,test,NA,NA
id_030541,train,20,u
id_030542,train,16,q
id_030543,valid,9,j
id_030544,test,NA,NA
id_030545,train,6,g
id_030546,train,7,h
id_030547,valid,25,z
id_030548,test,NA,NA
id_030549,train,23,x
id_030550,train,14,o
id_030551,valid,15,p
id_030552,test,NA,NA
id_030553,train,15,p
id_030554,train,22,w
id_030555,valid,7,h
id_030556,test,NA,NA
id_030557,train,4,e
id_030558,train,2,c
id_030559,valid,18,s
id_030560,test,NA,NA
id_030561,train,12,m
id_030562,train,9,j
id_030563,valid,4,e
id_030564,test,NA,NA
id_030565,train,9,j
id_030566,train,14,o
id_030567,valid,3,d
id_030568,test,NA,NA
id_030569,train,0,a
id_030570,train,6,g
id_030571,valid,6,g
id_030572,test,NA,NA
id_030573,train,13,n
id_030574,train,20,u
id_030575,valid,20,u
id_030576,test,NA,NA
id_030577,train,13,n
id_030578,train,2,c
id_030579,valid,13,n
id_030580,test,NA,NA
id_030581,train,23,x
id_030582,train,6,g
id_030583,valid,4,e
id_030584,test,NA,NA
id_030585,train,9,j
id_030586,train,8,i
id_030587,valid,20,u
id_030588,test,NA,NA
id_030589,train,7,h
id_030590,train,4,e
id_030591,valid,1,b
id_030592,test,NA,NA
id_030593,train,20,u
id_030594,train,20,u
id_030595,valid,15,p
id_030596,test,NA,NA
id_030597,train,6,g
id_030598,train,24,y
id_030599,valid,15,p
id_030600,test,NA,NA
id_030601,train,6,g
id_030602,train,1,b
id_030603,valid,18,s
id_030604,test,NA,NA
id_030605,train,7,h
id_030606,train,5,f
id_030607,valid,3,d
id_030608,test,NA,NA
id_030609,train,23,x
id_030610,train,6,g
id_030611,valid,2,c
id_030612,test,NA,NA
id_030613,train,18,s
id_030614,train,14,o
id_030615,valid,19,t
id_030616,test,NA,NA
id_030617,train,23,x
id_030618,train,10,k
id_030619,valid,2,c
id_030620,test,NA,NA
id_030621,train,12,m
id_030622,train,25,z
id_030623,valid,9,j
id_030624,test,NA,NA
id_030625,train,2,c
id_030626,train,25,z
id_030627,valid,11,l
id_030628,test,NA,NA
id_030629,train,0,a
id_030630,train,0,a
id_030631,valid,3,d
id_030632,test,NA,NA
id_030633,train,2,c
id_030634,train,16,q
id_030635,valid,4,e
id_030636,test,NA,NA
id_030637,train,9,j
id_030638,train,25,z
id_030639,valid,16,q
id_030640,test,NA,NA
id_030641,train,12,m
id_030642,train,15,p
id_030643,valid,20,u
id_030644,test,NA,NA
id_030645,train,19,t
id_030646,train,7,h
id_030647,valid,10,k
id_030648,test,NA,NA
id_030649,train,12,m
id_030650,train,11,l
id_030651,valid,17,r
id_030652,test,NA,NA
id_030653,train,24,y
id_030654,train,9,j
id_030655,valid,22,w
id_030656,test,NA,NA
id_030657,train,15,p
id_030658,train,18,s
id_030659,valid,24,y
id_030660,test,NA,NA
id_030661,train,7,h
id_030662,train,2,c
id_030663,valid,3,d
id_030664,test,NA,NA
id_030665,train,24,y
id_030666,train,3,d
id_030667,valid,10,k
id_030668,test,NA,NA
id_030669,train,3,d
id_030670,train,11,l
id_030671,valid,1,b
id_030672,test,NA,NA
id_030673,train,4,e
id_030674,train,22,w
id_030675,valid,20,u
id_030676,test,NA,NA
id_030677,train,7,h
id_030678,train,7,h
id_030679,valid,2,c
id_030680,test,NA,NA
id_030681,train,16,q
id_030682,train,13,n
id_030683,valid,7,h
id_030684,test,NA,NA
id_030685,train,12,m
id_030686,train,18,s
id_030687,valid,21,v
id_030688,test,NA,NA
id_030689,train,10,k
id_030690,train,1,b
id_030691,valid,11,l
id_030692,test,NA,NA
id_030693,train,22,w
id_030694,train,20,u
id_030695,valid,16,q
id_030696,test,NA,NA
id_030697,train,17,r
id_030698,train,1,b
id_030699,valid,7,h
id_030700,test,NA,NA
id_030701,train,25,z
id_030702,train,24,y
id_030703,valid,8,i
id_030704,test,NA,NA
id_030705,train,15,p
id_030706,train,1,b
id_030707,valid,21,v
id_030708,test,NA,NA
id_030709,train,22,w
id_030710,train,4,e
id_030711,valid,6,g
id_030712,test,NA,NA
id_030713,train,5,f
id_030714,train,12,m
id_030715,valid,15,p
id_030716,test,NA,NA
id_030717,train,23,x
id_030718,train,0,a
id_030719,valid,6,g
id_030720,test,NA,NA
id_030721,train,17,r
id_030722,train,20,u
id_030723,valid,9,j
id_030724,test,NA,NA
id_030725,train,3,d
id_030726,train,15,p
id_030727,valid,18,s
id_030728,test,NA,NA
id_030729,train,23,x
id_030730,train,4,e
id_030731,valid,3,d
id_030732,test,NA,NA
id_030733,train,17,r
id_030734,train,8,i
id_030735,valid,22,w
id_030736,test,NA,NA
id_030737,train,11,l
id_030738,train,13,n
id_030739,valid,18,s
id_030740,test,NA,NA
id_030741,train,9,j
id_030742,train,19,t
id_030743,valid,14,o
id_030744,test,NA,NA
id_030745,train,14,o
id_030746,train,11,l
id_030747,valid,22,w
id_030748,test,NA,NA
id_030749,train,25,z
id_030750,train,17,r
id_030751,valid,6,g
id_030752,test,NA,NA
id_030753,train,10,k
id_030754,train,12,m
id_030755,valid,6,g
id_030756,test,NA,NA
id_030757,train,12,m
id_030758,train,25,z
id_030759,valid,4,e
id_030760,test,NA,NA
id_030761,train,6,g
id_030762,train,25,z
id_030763,valid,1,b
id_030764,test,NA,NA
id_030765,train,13,n
id_030766,train,6,g
id_030767,valid,4,e
id_030768,test,NA,NA
id_030769,train,12,m
id_030770,train,17,r
id_030771,valid,8,i
id_030772,test,NA,NA
id_030773,train,18,s
id_030774,train,23,x
id_030775,valid,3,d
id_030776,test,NA,NA
id_030777,train,13,n
id_030778,train,7,h
id_030779,valid,5,f
id_030780,test,NA,NA
id_030781,train,4,e
id_030782,train,11,l
id_030783,valid,7,h
id_030784,test,NA,NA
id_030785,train,8,i
id_030786,train,12,m
id_030787,valid,14,o
id_030788,test,NA,NA
id_030789,train,18,s
id_030790,train,20,u
id_030791,valid,4,e
id_030792,test,NA,NA
id_030793,train,8,i
id_030794,train,24,y
id_030795,valid,10,k
id_030796,test,NA,NA
id_030797,train,22,w
id_030798,train,18,s
id_030799,valid,20,u
id_030800,test,NA,NA
id_030801,train,3,d
id_030802,train,14,o
id_030803,valid,9,j
id_030804,test,NA,NA
id_030805,train,1,b
id_030806,train,21,v
id_030807,valid,9,j
id_030808,test,NA,NA
id_030809,train,14,o
id_030810,train,13,n
id_030811,valid,22,w
id_030812,test,NA,NA
id_030813,train,17,r
id_030814,train,11,l
id_030815,valid,12,m
id_030816,test,NA,NA
id_030817,train,21,v
id_030818,train,11,l
id_030819,valid,23,x
id_030820,test,NA,NA
id_030821,train,3,d
id_030822,train,10,k
id_030823,valid,21,v
id_030824,test,NA,NA
id_030825,train,6,g
id_030826,train,1,b
id_030827,valid,6,g
id_030828,test,NA,NA
id_030829,train,19,t
id_030830,train,3,d
id_030831,valid,16,q
id_030832,test,NA,NA
id_030833,train,14,o
id_030834,train,7,h
id_030835,valid,25,z
id_030836,test,NA,NA
id_030837,train,7,h
id_030838,train,20,u
id_030839,valid,14,o
id_030840,test,NA,NA
id_030841,train,4,e
id_030842,train,4,e
id_030843,valid,1,b
id_030844,test,NA,NA
id_030845,train,22,w
id_030846,train,23,x
id_030847,valid,2,c
id_030848,test,NA,NA
id_030849,train,13,n
id_030850,train,20,u
id_030851,valid,25,z
id_030852,test,NA,NA
id_030853,train,24,y
id_030854,train,12,m
id_030855,valid,23,x
id_030856,test,NA,NA
id_030857,train,25,z
id_030858,train,22,w
id_030859,valid,1,b
id_030860,test,NA,NA
id_030861,train,23,x
id_030862,train,2,c
id_030863,valid,15,p
id_030864,test,NA,NA
id_030865,train,16,q
id_030866,train,11,l
id_030867,valid,17,r
id_030868,test,NA,NA
id_030869,train,11,l
id_030870,train,16,q
id_030871,valid,15,p
id_030872,test,NA,NA
id_030873,train,5,f
id_030874,train,14,o
id_030875,valid,19,t
id_030876,test,NA,NA
id_030877,train,22,w
id_030878,train,0,a
id_030879,valid,7,h
id_030880,test,NA,NA
id_030881,train,5,f
id_030882,train,4,e
id_030883,valid,24,y
id_030884,test,NA,NA
id_030885,train,1,b
id_030886,train,15,p
id_030887,valid,6,g
id_030888,test,NA,NA
id_030889,train,25,z
id_030890,train,8,i
id_030891,valid,4,e
id_030892,test,NA,NA
id_030893,train,22,w
id_030894,train,19,t
id_030895,valid,2,c
id_030896,test,NA,NA
id_030897,train,13,n
id_030898,train,21,v
id_030899,valid,13,n
id_030900,test,NA,NA
id_030901,train,11,l
id_030902,train,6,g
id_030903,valid,18,s
id_030904,test,NA,NA
id_030905,train,7,h
id_030906,train,16,q
id_030907,valid,3,d
id_030908,test,NA,NA
id_030909,train,5,f
id_030910,train,3,d
id_030911,valid,22,w
id_030912,test,NA,NA
id_030913,train,25,z
id_030914,train,25,z
id_030915,valid,21,v
id_030916,test,NA,NA
id_030917,train,3,d
id_030918,train,1,b
id_030919,valid,5,f
id_030920,test,NA,NA
id_030921,train,21,v
id_030922,train,7,h
id_030923,valid,10,k
id_030924,test,NA,NA
id_030925,train,3,d
id_030926,train,19,t
id_030927,valid,10,k
id_030928,test,NA,NA
id_030929,train,11,l
id_030930,train,16,q
id_030931,valid,2,c
id_030932,test,NA,NA
id_030933,train,5,f
id_030934,train,5,f
id_030935,valid,25,z
id_030936,test,NA,NA
id_030937,train,18,s
id_030938,train,14,o
id_030939,valid,24,y
id_030940,test,NA,NA
id_030941,train,2,c
id_030942,train,8,i
id_030943,valid,10,k
id_030944,test,NA,NA
id_030945,train,13,n
id_030946,train,12,m
id_030947,valid,19,t
id_030948,test,NA,NA
id_030949,train,17,r
id_030950,train,3,d
id_030951,valid,7,h
id_030952,test,NA,NA
id_030953,train,10,k
id_030954,train,15,p
id_030955,valid,4,e
id_030956,test,NA,NA
id_030957,train,17,r
id_030958,train,21,v
id_030959,valid,2,c
id_030960,test,NA,NA
id_030961,train,13,n
id_030962,train,11,l
id_030963,valid,16,q
id_030964,test,NA,NA
id_030965,train,10,k
id_030966,train,21,v
id_030967,valid,9,j
id_030968,test,NA,NA
id_030969,train,16,q
id_030970,train,17,r
id_030971,valid,2,c
id_030972,test,NA,NA
id_030973,train,13,n
id_030974,train,5,f
id_030975,valid,9,j
id_030976,test,NA,NA
id_030977,train,15,p
id_030978,train,14,o
id_030979,valid,0,a
id_030980,test,NA,NA
id_030981,train,7,h
id_030982,train,11,l
id_030983,valid,10,k
id_030984,test,NA,NA
id_030985,train,14,o
id_030986,train,9,j
id_030987,valid,15,p
id_030988,test,NA,NA
id_030989,train,21,v
id_030990,train,4,e
id_030991,valid,14,o
id_030992,test,NA,NA
id_030993,train,17,r
id_030994,train,18,s
id_030995,valid,12,m
id_030996,test,NA,NA
id_030997,train,6,g
id_030998,train,14,o
id_030999,valid,24,y
id_031000,test,NA,NA
id_031001,train,5,f
id_031002,train,23,x
id_031003,valid,25,z
id_031004,test,NA,NA
id_031005,train,1,b
id_031006,train,6,g
